local authority: county / unitary (as of April 2023),mnemonic,2023

Derby,E06000015,266460
Derbyshire,E10000007,811449
Leicester,E06000016,379780
Leicestershire,E10000018,734015
Lincolnshire,E10000019,782808
North Northamptonshire,E06000061,367991
Nottingham,E06000018,329276
Nottinghamshire,E10000024,844494
Rutland,E06000017,40643
West Northamptonshire,E06000062,434349
Bedford,E06000055,189891
Cambridgeshire,E10000003,699573
Central Bedfordshire,E06000056,308302
Essex,E10000012,1536118
Hertfordshire,E10000015,1215387
Luton,E06000032,231028
Norfolk,E10000020,931943
Peterborough,E06000031,219509
Southend-on-Sea,E06000033,182271
Suffolk,E10000029,776442
Thurrock,E06000034,178201
Barking and Dagenham,E09000002,222308
Barnet,E09000003,395007
Bexley,E09000004,250853
Brent,E09000005,344521
Bromley,E09000006,331162
Camden,E09000007,220903
City of London,E09000001,13462
Croydon,E09000008,397741
Ealing,E09000009,375340
Enfield,E09000010,327429
Greenwich,E09000011,294113
Hackney,E09000012,263282
Hammersmith and Fulham,E09000013,186176
Haringey,E09000014,262895
Harrow,E09000015,263448
Havering,E09000016,268145
Hillingdon,E09000017,319018
Hounslow,E09000018,295706
Islington,E09000019,220584
Kensington and Chelsea,E09000020,147460
Kingston upon Thames,E09000021,170454
Lambeth,E09000022,315706
Lewisham,E09000023,298708
Merton,E09000024,215219
Newham,E09000025,362552
Redbridge,E09000026,313392
Richmond upon Thames,E09000027,195513
Southwark,E09000028,315519
Sutton,E09000029,211123
Tower Hamlets,E09000030,328626
Waltham Forest,E09000031,275980
Wandsworth,E09000032,331456
Westminster,E09000033,211508
County Durham,E06000047,532182
Darlington,E06000005,110562
Gateshead,E08000037,199139
Hartlepool,E06000001,95366
Middlesbrough,E06000002,152650
Newcastle upon Tyne,E08000021,311976
North Tyneside,E08000022,211769
Northumberland,E06000057,327055
Redcar and Cleveland,E06000003,137938
South Tyneside,E08000023,149270
Stockton-on-Tees,E06000004,202415
Sunderland,E08000024,281058
Blackburn with Darwen,E06000008,157503
Blackpool,E06000009,142708
Bolton,E08000001,302383
Bury,E08000002,195476
Cheshire East,E06000049,412458
Cheshire West and Chester,E06000050,365061
Cumberland,E06000063,276876
Halton,E06000006,129587
Knowsley,E08000011,159243
Lancashire,E10000017,1270162
Liverpool,E08000012,503740
Manchester,E08000003,579917
Oldham,E08000004,246130
Rochdale,E08000005,229756
Salford,E08000006,284106
Sefton,E08000014,282745
St. Helens,E08000013,185982
Stockport,E08000007,299545
Tameside,E08000008,234666
Trafford,E08000009,237480
Warrington,E06000007,212389
Westmorland and Furness,E06000064,228187
Wigan,E08000010,339174
Wirral,E08000015,324852
Bracknell Forest,E06000036,128351
Brighton and Hove,E06000043,279637
Buckinghamshire,E06000060,566694
East Sussex,E10000011,555484
Hampshire,E10000014,1428559
Isle of Wight,E06000046,140906
Kent,E10000016,1610251
Medway,E06000035,286800
Milton Keynes,E06000042,298270
Oxfordshire,E10000025,750230
Portsmouth,E06000044,210297
Reading,E06000038,178196
Slough,E06000039,160713
Southampton,E06000045,256110
Surrey,E10000030,1228671
West Berkshire,E06000037,163367
West Sussex,E10000032,900862
Windsor and Maidenhead,E06000040,155239
Wokingham,E06000041,183870
Bath and North East Somerset,E06000022,199818
Bournemouth Christchurch and Poole,E06000058,404050
Bristol,E06000023,482998
Cornwall,E06000052,578324
Devon,E10000008,833408
Dorset,E06000059,384809
Gloucestershire,E10000013,659276
Isles of Scilly,E06000053,2229
North Somerset,E06000024,221146
Plymouth,E06000026,268736
Somerset,E06000066,581145
South Gloucestershire,E06000025,299439
Swindon,E06000030,238417
Torbay,E06000027,139485
Wiltshire,E06000054,517979
Birmingham,E08000025,1166049
Coventry,E08000026,360702
Dudley,E08000027,326680
Herefordshire,E06000019,189890
Sandwell,E08000028,347551
Shropshire,E06000051,329260
Solihull,E08000029,218793
Staffordshire,E10000028,898521
Stoke-on-Trent,E06000021,263157
Telford and Wrekin,E06000020,191915
Walsall,E08000030,288736
Warwickshire,E10000031,617823
Wolverhampton,E08000031,272425
Worcestershire,E10000034,614185
Barnsley,E08000016,248449
Bradford,E08000032,560194
Calderdale,E08000033,208735
Doncaster,E08000017,314176
East Riding of Yorkshire,E06000011,350119
Kingston upon Hull,E06000010,271942
Kirklees,E08000034,442033
Leeds,E08000035,829413
North East Lincolnshire,E06000012,158335
North Lincolnshire,E06000013,170087
North Yorkshire,E06000065,627629
Rotherham,E08000018,271195
Sheffield,E08000019,573252
Wakefield,E08000036,361786
York,E06000014,206780



